,Date
0,20170511
1,20170517
2,20170523
3,20170529
4,20170604
5,20170610
6,20170616
7,20170622
8,20170628
9,20170704
10,20170710
11,20170716
12,20170722
13,20170728
14,20170803
15,20170809
16,20170815
17,20170821
18,20170827
19,20170902
20,20170908
21,20170914
22,20170920
23,20170926
24,20171002
25,20171008
26,20171014
27,20171020
28,20171026
29,20171101
30,20171107
31,20171113
32,20171119
33,20171125
34,20171201
35,20171207
36,20171213
37,20171219
38,20171225
39,20171231
40,20180106
41,20180112
42,20180118
43,20180124
44,20180130
45,20180205
46,20180211
47,20180217
48,20180223
49,20180301
50,20180307
51,20180313
52,20180319
53,20180325
54,20180331
55,20180406
56,20180412
57,
58,20180424
59,20180430
60,20180506
61,20180512
62,20180518
63,20180524
64,20180530
65,20180605
66,20180611
67,20180617
68,20180623
69,
70,20180705
71,20180711
72,20180717
73,20180723
74,20180729
75,20180804
76,20180810
77,20180816
78,20180822
79,20180828
80,20180903
81,20180909
82,20180915
83,20180921
84,20180927
85,20181003
86,20181009
87,20181015
88,20181021
89,20181027
90,20181102
91,20181108
92,20181114
93,20181120
94,20181126
95,20181202
96,20181208
97,20181214
98,20181220
99,20181226
100,20190101
101,20190107
102,20190113
103,20190119
104,20190125
105,20190131
106,20190206
107,
108,20190218
109,20190224
110,20190302
111,20190308
112,20190314
113,20190320
114,20190326
115,20190401
116,20190407
117,20190413
118,20190419
119,
120,20190501
121,20190507
122,20190513
123,20190519
124,20190525
125,20190531
126,20190606
127,20190612
128,20190618
129,
130,20190630
131,20190706
132,20190712
133,20190718
134,20190724
135,20190730
136,20190805
137,20190811
138,20190817
139,
140,20190829
141,20190904
142,20190910
143,20190916
144,20190922
145,20190928
146,20191004
147,20191010
148,20191016
149,
150,20191028
151,20191103
152,20191109
153,20191115
154,20191121
155,20191127
156,20191203
157,20191209
158,20191215
159,
160,20191227
161,20200102
162,20200108
163,20200114
164,20200120
165,20200126
166,20200201
167,20200207
168,20200213
169,
170,20200225
171,20200302
172,20200308
173,20200314
174,20200320
175,20200326
176,20200401
177,20200407
178,20200413
179,
180,20200425
181,20200501
182,20200507
183,20200513
184,20200519
185,20200525
186,20200531
187,20200606
188,20200612
189,
190,20200624
191,20200630
192,20200706
193,20200712
194,20200718
195,20200724
196,20200730
197,20200805
198,20200811
199,20200817
200,20200823
201,20200829
202,20200904
203,20200910
204,20200916
205,20200922
206,20200928
207,20201004
208,20201010
209,
210,20201022
211,20201028
212,20201103
213,20201109
214,20201115
215,20201121
216,20201127
217,20201203
218,20201209
219,20201215
220,20201221
221,20201227
222,20210102
223,20210108
224,20210114
225,20210120
226,20210126
227,20210201
228,20210207
229,
230,20210219
231,20210225
232,20210303
233,20210309
234,20210315
235,20210321
236,20210327
237,20210402
238,20210408
239,20210414
240,20210420
241,20210426
242,20210502
243,20210508
244,20210514
245,20210520
246,20210526
247,20210601
248,20210607
249,20210613
250,20210619
251,20210625
252,20210701
253,20210707
254,20210713
255,20210719
256,20210725
257,20210731
258,20210806
259,20210812
260,20210818
261,20210824
262,20210830
263,20210905
264,20210911
265,20210917
266,20210923
267,20210929
268,20211005
269,20211011
270,20211017
271,20211023
272,20211029
273,20211104
274,20211110
275,20211116
276,20211122
277,20211128
278,20211204
279,20211210
280,20211216
281,20211222
282,20211228
283,
284,20220109
285,
286,20220121
287,
288,20220202
289,
290,20220214
291,
292,20220226
293,
294,20220310
295,
296,20220322
297,
298,20220403
299,
300,20220415
301,
302,20220427
303,
304,20220509
305,
306,20220521
307,
308,20220602
309,
310,20220614
311,
312,20220626
313,
314,20220708
315,
316,20220720
317,
318,20220801
319,
320,20220813
321,
322,20220825
323,
324,20220906
325,
326,20220918
327,
328,20220930
329,
330,20221012
331,
332,20221024
333,
334,20221105
335,
336,20221117
337,
338,20221129
339,
340,20221211
341,
342,20221223
343,
344,20230104
345,
346,20230116
347,
348,20230128
349,
350,20230209
351,
352,20230221
353,
354,20230305
355,
356,20230317
357,
358,20230329
